KECAMATAN,Shape_Leng,Shape_Area,JUMLAH_PEN,LUAS_Ha_,Kep_pend,X,Y,AREA_GEO,PERIM_GEO,CENTROID_X,CENTROID_Y,CENTROID_Z,CENTROID_M,INSIDE_X,INSIDE_Y,INSIDE_Z,INSIDE_M,START_X,START_Y,START_Z,START_M,MID_X,MID_Y,MID_Z,MID_M,END_X,END_Y,END_Z,END_M,PART_COUNT,PNT_COUNT,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
KARANGTENGAH,0.23170253741,0.00224845442,18870.00000000000,23.28000000000,810.56701030900,108.05308142200,-7.15663134198,27466410.84810000000,25607.48598320000,108.05552228500,-7.15773170768,0.00000000000,0.00000000000,108.05552228500,-7.15773170768,0.00000000000,0.00000000000,108.06640018200,-7.13097571086,0.00000000000,0.00000000000,108.03826105100,-7.17870888125,0.00000000000,0.00000000000,108.04429496400,-7.15804866881,0.00000000000,0.00000000000,1.00000000000,740.00000000000,108.01672512000,-7.18493999968,108.08455600000,-7.12612195287
KERSAMANAH,0.28295191914,0.00194488173,39280.00000000000,16.50000000000,2380.60606061000,108.02813750300,-7.07269088284,23762443.80330000000,31279.38902930000,108.03163349200,-7.07077153936,0.00000000000,0.00000000000,108.03163349200,-7.07077153936,0.00000000000,0.00000000000,108.03604209200,-7.03405412280,0.00000000000,0.00000000000,108.03259255900,-7.09269965166,0.00000000000,0.00000000000,108.03604209200,-7.03405412280,0.00000000000,0.00000000000,1.00000000000,1164.00000000000,107.99834302700,-7.11712322855,108.05094000100,-7.03209722411
LELES,0.47139777843,0.00577709561,85080.00000000000,73.51000000000,1157.39355190000,107.86808673800,-7.10942166621,70577886.77120000000,52100.71944280000,107.86487074100,-7.11305023425,0.00000000000,0.00000000000,107.86487074100,-7.11305023425,0.00000000000,0.00000000000,107.84645688000,-7.06389004449,0.00000000000,0.00000000000,107.91889398800,-7.14060739100,0.00000000000,0.00000000000,107.84645688000,-7.06389004449,0.00000000000,0.00000000000,1.00000000000,1592.00000000000,107.80776985800,-7.14786999890,107.93483560900,-7.06371619744
LEUWIGOONG,0.37412889432,0.00197377804,47480.00000000000,19.35000000000,2453.74677003000,107.94635175500,-7.11236863804,24113527.96910000000,41353.04031290000,107.94344739400,-7.10940677497,0.00000000000,0.00000000000,107.94344739400,-7.10940677497,0.00000000000,0.00000000000,107.97505999800,-7.08538995498,0.00000000000,0.00000000000,107.91962317100,-7.13866820815,0.00000000000,0.00000000000,107.97505999800,-7.08538995498,0.00000000000,0.00000000000,1.00000000000,1430.00000000000,107.91888223200,-7.15657093880,107.97963000100,-7.07409006341
MALANGBONG,0.49299220214,0.00847900365,132000.00000000000,92.38000000000,1428.88071011000,108.08401966100,-7.05877680020,103598537.71200000000,54497.83214320000,108.08191390400,-7.05881215978,0.00000000000,0.00000000000,108.08191390400,-7.05881215978,0.00000000000,0.00000000000,108.09337942200,-7.00146216665,0.00000000000,0.00000000000,108.06832293300,-7.12985513133,0.00000000000,0.00000000000,108.05554814200,-7.11566014130,0.00000000000,0.00000000000,1.00000000000,1868.00000000000,108.03619383500,-7.13099249491,108.13605700100,-6.98649038632
MEKARMUKTI,0.32520743939,0.00351951447,18720.00000000000,55.22000000000,339.00760594000,107.55898405700,-7.52636140499,42958443.77010000000,35931.65821030000,107.56297811400,-7.52788505427,0.00000000000,0.00000000000,107.56297811400,-7.52788505427,0.00000000000,0.00000000000,107.58470017000,-7.55454999858,0.00000000000,0.00000000000,107.55433035500,-7.52455416995,0.00000000000,0.00000000000,107.58470017000,-7.55454999858,0.00000000000,0.00000000000,1.00000000000,1088.00000000000,107.51262000000,-7.56545551136,107.59736000100,-7.48422000005
PAKENJENG,0.81758898345,0.01561127108,68870.00000000000,198.44000000000,347.05704495100,107.68712819900,-7.47802357968,190572797.61900000000,90333.25681010000,107.68644410000,-7.46924797877,0.00000000000,0.00000000000,107.68644410000,-7.46924797877,0.00000000000,0.00000000000,107.79129999900,-7.44960967205,0.00000000000,0.00000000000,107.60816241300,-7.50558231633,0.00000000000,0.00000000000,107.79129999900,-7.44960967205,0.00000000000,0.00000000000,1.00000000000,2575.00000000000,107.57676459600,-7.58371836161,107.79886000000,-7.38987999956
PAMEUNGPEUK,0.38504752652,0.00384865756,43380.00000000000,44.11000000000,983.45046474700,107.72991069400,-7.62488248217,46965224.00300000000,42534.47050530000,107.73105436400,-7.62833996513,0.00000000000,0.00000000000,107.73105436400,-7.62833996513,0.00000000000,0.00000000000,107.76840992100,-7.61811972495,0.00000000000,0.00000000000,107.71107473500,-7.63303263654,0.00000000000,0.00000000000,107.72840166100,-7.64398607240,0.00000000000,0.00000000000,1.00000000000,1224.00000000000,107.68912412800,-7.67093000012,107.76840992100,-7.57191999831
PAMULIHAN,0.50980762179,0.00943371365,18820.00000000000,132.44000000000,142.10208396300,107.68254979700,-7.36564223270,115187981.56600000000,56344.58498820000,107.68200418500,-7.36330286458,0.00000000000,0.00000000000,107.68200418500,-7.36330286458,0.00000000000,0.00000000000,107.66571055300,-7.29526018491,0.00000000000,0.00000000000,107.68277205400,-7.43332454032,0.00000000000,0.00000000000,107.66571055300,-7.29526018491,0.00000000000,0.00000000000,1.00000000000,1759.00000000000,107.63481595300,-7.44618999907,107.73137486700,-7.28977320257
PANGATIKAN,0.38986173781,0.00175939780,42830.00000000000,19.72000000000,2171.90669371000,108.02380218600,-7.17473863304,21491395.79440000000,43086.61040700000,108.02375193900,-7.17630516157,0.00000000000,0.00000000000,108.02375193900,-7.17630516157,0.00000000000,0.00000000000,107.97845059700,-7.13867200371,0.00000000000,0.00000000000,108.07357438000,-7.19422635463,0.00000000000,0.00000000000,108.00010303300,-7.16643592698,0.00000000000,0.00000000000,1.00000000000,1342.00000000000,107.97254000000,-7.20913999961,108.07516486600,-7.13720420941
